Disease	Inverse.P1	Inverse.P2	Inverse.Prevalence	Citation
Malignant hyperthermia	10000	250000	50000	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4524368/
Marfan's syndrome	3333	5000	4082	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1513064/
Multiple endocrine neoplasia, type 1	30000	\N	30000	http://www.cancer.gov/types/thyroid/hp/medullary-thyroid-genetics-pdq
Multiple endocrine neoplasia, type 2a	35000	\N	35000	http://www.cancer.gov/types/thyroid/hp/medullary-thyroid-genetics-pdq
Multiple endocrine neoplasia, type 2b	35000	\N	35000	http://www.cancer.gov/types/thyroid/hp/medullary-thyroid-genetics-pdq
MYH-associated polyposis	10000	\N	10000	https://www.researchgate.net/publication/47403108_Prevalence_of_MYH-associated_polyposis_related_to_three_recurrent_mutations_in_Morocco
Neurofibromatosis, type 2	60000	\N	60000	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=637
Paragangliomas 1	500000	125000	250000	http://www.cancer.gov/types/pheochromocytoma/hp/pheochromocytoma-treatment-pdq
Paragangliomas 2	500000	125000	250000	http://www.cancer.gov/types/pheochromocytoma/hp/pheochromocytoma-treatment-pdq
Paragangliomas 3	500000	125000	250000	http://www.cancer.gov/types/pheochromocytoma/hp/pheochromocytoma-treatment-pdq
Paragangliomas 4	500000	125000	250000	http://www.cancer.gov/types/pheochromocytoma/hp/pheochromocytoma-treatment-pdq
Peutz-Jeghers syndrome	25000	300000	86603	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=2869
Pilomatrixoma	500	2000	1000	http://radiopaedia.org/articles/pilomatricoma
PTEN hamartoma tumor syndrome	200000	\N	200000	http://www.ncbi.nlm.nih.gov/books/NBK1488/
Retinoblastoma	14000	18000	15875	http://www.who.int/selection_medicines/committees/expert/20/applications/Retinoblastoma.pdf
Tuberous sclerosis 1	6000	\N	6000	http://www.ninds.nih.gov/disorders/tuberous_sclerosis/detail_tuberous_sclerosis.htm
Tuberous sclerosis 2	6000	\N	6000	http://www.ninds.nih.gov/disorders/tuberous_sclerosis/detail_tuberous_sclerosis.htm
Von Hippel-Lindau syndrome	53000	\N	53000	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=892
Wilms' tumor	10000	\N	10000	http://www.ncbi.nlm.nih.gov/pubmed/7680412
